"","IR","WPSFD49207","WPSFD4131","CPIAUCSL","CPILFESL","CIS1010000000000I","GDPCTPI","PCEPILFE","OPHNFB","NPPTTL","ICSA","CCSA","NPPMNF","UNRATE","AWHAETP","AMTMNO","DAUTOSA","TOTALSL","WHLSLRMPCIMSA","RRSFS","RSFSXMV","INDPRO","TCU","INVCMRMTSPL","ACDGNO","ADXTNO","USARGDPQDSNAQ","DPCERE1Q156NBEA","PI","PCE","UMCSENT","GACDISA066MSFRBNY","USSLIND","GAFDFSA066MSFRBPHI","CSCICP03USM665S"
"2010-10-18",0.289267113601504,1.26070692533783,-1.29297484367746,1.48904493316223,1.76182574127585,1.63747532365859,-1.53463053161569,-1.38103409408814,-1.55307474954319,-0.958100989601223,0.198378146284432,0.504361229202759,-1.2911909286081,1.08568124882258,0.637643188864418,-0.393349333624127,-0.707186811379391,-1.27370447390986,1.77929274050666,-0.41676996177568,0.671848696807299,1.13934350243182,-0.431299099912612,-0.935077344771729,-0.212724077267453,-0.706113989984603,-0.18310835827748,0.852436563836506,1.50136908458059,-1.13338110999591,-1.82723720626061,-0.289538613979085,0.151773439520709,-0.304690669095866,0.0299391951869452
"2010-10-19",0.28914870260896,1.25947386038444,-1.29167001150371,1.48723582728826,1.75909632220398,1.63519938114066,-1.5326862761699,-1.37951769760124,-1.55107377720575,-0.957406761147025,0.198300264475294,0.504122225213794,-1.28989014285291,1.08478767698075,0.637304345983305,-0.393177752285068,-0.706786020564831,-1.27244286237141,1.77649480075099,-0.416585175136735,0.671480305239685,1.13835440399349,-0.431105862577707,-0.934415192793964,-0.21264008905515,-0.705714211724281,-0.183036874527971,0.851880496758836,1.49952413904665,-1.13240298574147,-1.82424486006978,-0.289420074647747,0.151714790734568,-0.304564889308038,0.0299278765756003
"2010-10-20",0.289030436921821,1.25824440731621,-1.29036912269697,1.48543330073516,1.75637955153908,1.63293290426326,-1.53074939325336,-1.37800628638066,-1.54908052072246,-0.956714039976366,0.19822247432498,0.503883560732071,-1.28859328147379,1.08389630843119,0.636966042822475,-0.393006395310853,-0.706385910563156,-1.27118499320985,1.77371002132173,-0.416400634102124,0.671112519133906,1.1373678777251,-0.430912884776341,-0.933754445838569,-0.212556200249701,-0.705315111870975,-0.182965474435452,0.851325516742026,1.49768597973224,-1.13142739015595,-1.82126716961036,-0.289301680800411,0.151656209887147,-0.304439265173815,0.0299165707916735
"2010-10-21",0.28891231624313,1.25701854853321,-1.28907215743375,1.48363731371865,1.7536753318903,1.63067582759351,-1.52881983638817,-1.37649983316907,-1.54709493063101,-0.956022820642282,0.334907438311956,0.495799381318993,-1.28730032477657,1.08300713413347,0.636628277950447,-0.392835262212883,-0.705986479448823,-1.26993084795861,1.77093829937195,-0.416216338128209,0.670745336833064,1.13638391249675,-0.430720165928012,-0.933095098943146,-0.21247241065516,-0.70491668850788,-0.182894157836871,0.850771620248413,1.49585456513497,-1.13045431236194,-1.81830401563677,-0.289183432139713,0.151597696847377,-0.304313796372402,0.0299052778109541
"2010-10-22",0.288794340276779,1.25579626655536,-1.28777909602982,1.48184782679043,1.7509835669134,1.62842808633003,-1.5268975595056,-1.37499831091737,-1.54511695791183,-0.955333097725328,0.334767056038901,0.495566566983476,-1.28601125320521,1.08212014509905,0.63629104994105,-0.392664352504048,-0.705587725303905,-1.26868040827841,1.76817953317647,-0.416032286673033,0.670378756686603,1.13540249724586,-0.430527705454036,-0.932437147169802,-0.212388720076122,-0.704518939725768,-0.182822924569626,0.850218803756432,1.4940298541069,-1.1294837415474,-1.81535528025731,-0.289065328369137,0.151539251484543,-0.304188482583929,0.0298939976092955
"2010-10-23",0.288676508727506,1.25457754402135,-1.2864899189389,1.48006480083456,1.74830416129635,1.62618961629509,-1.52498251694148,-1.37350169278257,-1.54314655398305,-0.954644865833398,0.334626850164978,0.49533408036274,-1.28472604734048,1.08123533239081,0.635954357373398,-0.392493665698721,-0.705189646218053,-1.26743365595617,1.76543362211614,-0.415848479196317,0.670012777050278,1.13442362097664,-0.430335502777537,-0.931780585604992,-0.212305128317717,-0.704121863622946,-0.182751774471553,0.849667063760522,1.49221180585071,-1.12851566696521,-1.81242084691453,-0.288947369193018,0.151480873668283,-0.304063323489445,0.0298827301626147
"2010-10-24",0.288558821300892,1.25336236368763,-1.28520460675147,1.47828819706382,1.74563702074515,1.62396035392698,-1.52307466343165,-1.37200995212585,-1.54118367069548,-0.953958119601552,0.33448682032104,0.49510192068858,-1.28344468789879,1.08035268712274,0.635618198831864,-0.39232320131275,-0.704792240288458,-1.2661905729039,1.76270046666245,-0.415664915159451,0.669647396286121,1.13344727275954,-0.430143557323441,-0.931125409359365,-0.212221635185616,-0.703725458305218,-0.182680707380931,0.849116396771033,1.49040037991583,-1.12755007793262,-1.80950060036581,-0.28882955431653,0.151422563268587,-0.303938318770921,0.0298714754468921
"2010-10-25",0.288441277703358,1.25215070842735,-1.28392314019352,1.47651797701624,1.7429820519699,1.62174023627237,-1.52117395410744,-1.3705230625105,-1.53922826032767,-0.953272853691836,0.33434696613902,0.494870087195313,-1.28216715573096,1.07947220045956,0.635282572906059,-0.392152958863456,-0.704395505619811,-1.26495114115758,1.75997996836235,-0.41548159402549,0.669282612762416,1.1324734417308,-0.42995186851847,-0.930471613567613,-0.21213824048602,-0.70332972188585,-0.18260972313648,0.848566799314133,1.48859553619466,-1.1265869638308,-1.80659442666442,-0.288711883445691,0.151364320155794,-0.303813468111238,0.0298602334381716
"2010-10-26",0.28832387764216,1.25094256122941,-1.28264550012533,1.47475410255155,1.74033916267108,1.61952920097888,-1.51928034449127,-1.36904099770001,-1.53728027558102,-0.952589062793109,0.334207287251927,0.494638579119762,-1.280893431821,1.0785938636163,0.634947478190799,-0.391982937869625,-0.703999440324266,-1.26371534287607,1.7572720298234,-0.415298515259144,0.668918424853661,1.1315021170919,-0.429760435791131,-0.929819193388315,-0.212054944025667,-0.702934652485525,-0.182538821577357,0.848018267931713,1.48679723491888,-1.1256263141043,-1.80370221314079,-0.288594356287358,0.151306144200591,-0.303688771194193,0.0298490041125599
"2010-10-27",0.28820662082539,1.2497379051974,-1.2813716675403,1.47299653584773,1.7377082615261,1.6173271862877,-1.51739379049226,-1.36756373165608,-1.535339669575,-0.951906741620872,0.334067783293843,0.494407395701247,-1.27962349728494,1.07771766785797,0.634612913286088,-0.391813137851501,-0.703604042521404,-1.26248316034007,1.75457655469907,-0.415115678326774,0.668554830940544,1.13053328810904,-0.429569258571713,-0.929168144003792,-0.211971745611824,-0.702540248232316,-0.182468002543157,0.847470799181301,1.48500543665569,-1.12466811826061,-1.80082384838417,-0.28847697254922,0.151248035274013,-0.303564227704488,0.0298377874462268
